0.007, -0.10, 0.12, 1.02
, 0.017, -0.09, 0.11, 1.02
, 0.027, -0.08, 0.11, 1.02
, 0.036, -0.07, 0.09, 1.01
, 0.047, -0.06, 0.09, 1.01
, 0.056, -0.05, 0.07, 0.98
, 0.067, -0.06, 0.06, 1.00
, 0.077, -0.06, 0.07, 1.00
, 0.087, -0.07, 0.07, 1.00
, 0.096, -0.08, 0.08, 1.02
, 0.107, -0.08, 0.08, 1.00
, 0.117, -0.07, 0.08, 1.00
, 0.127, -0.06, 0.09, 1.00
, 0.136, -0.06, 0.08, 1.02
, 0.147, -0.06, 0.08, 1.03
, 0.156, -0.07, 0.09, 1.02
, 0.167, -0.06, 0.08, 1.04
, 0.176, -0.07, 0.08, 1.03
, 0.187, -0.08, 0.07, 1.02
, 0.197, -0.08, 0.08, 1.03
, 0.207, -0.08, 0.07, 1.02
, 0.217, -0.08, 0.06, 1.02
, 0.227, -0.05, 0.06, 1.01
, 0.237, -0.07, 0.06, 1.00
, 0.247, -0.06, 0.06, 1.01
, 0.256, -0.06, 0.06, 1.00
, 0.266, -0.05, 0.07, 1.01
, 0.276, -0.04, 0.08, 1.02
, 0.287, -0.06, 0.06, 1.02
, 0.296, -0.06, 0.04, 1.02
, 0.307, -0.06, 0.04, 1.01
, 0.316, -0.05, 0.08, 1.01
, 0.327, -0.04, 0.08, 1.00
, 0.336, -0.04, 0.07, 1.00
, 0.346, -0.05, 0.07, 1.00
, 0.356, -0.05, 0.07, 1.03
, 0.366, -0.05, 0.08, 1.02
, 0.376, -0.05, 0.09, 1.01
, 0.386, -0.05, 0.08, 1.03
, 0.397, -0.05, 0.08, 1.04
, 0.407, -0.06, 0.08, 1.04
, 0.417, -0.05, 0.08, 1.03
, 0.427, -0.05, 0.09, 1.04
, 0.437, -0.04, 0.09, 1.04
, 0.447, -0.05, 0.07, 1.04
, 0.456, -0.04, 0.07, 1.04
, 0.467, -0.05, 0.08, 1.02
, 0.476, -0.04, 0.07, 1.02
, 0.487, -0.06, 0.07, 1.02
, 0.497, -0.05, 0.06, 1.00
, 0.507, -0.05, 0.05, 1.02
, 0.517, -0.05, 0.06, 1.01
, 0.527, -0.04, 0.07, 1.00
, 0.537, -0.06, 0.07, 1.01
, 0.547, -0.04, 0.06, 1.01
, 0.556, -0.05, 0.06, 1.00
, 0.566, -0.05, 0.06, 1.01
, 0.576, -0.04, 0.06, 1.02
, 0.587, -0.05, 0.05, 1.01
, 0.597, -0.05, 0.05, 1.00
, 0.606, -0.05, 0.05, 1.02
, 0.616, -0.03, 0.06, 1.02
, 0.627, -0.04, 0.06, 1.02
, 0.636, -0.04, 0.06, 1.02
, 0.647, -0.03, 0.06, 1.02
, 0.656, -0.02, 0.05, 1.02
, 0.667, -0.04, 0.05, 1.02
, 0.677, -0.04, 0.05, 1.02
, 0.687, -0.02, 0.05, 1.02
, 0.697, -0.03, 0.05, 1.02
, 0.707, -0.03, 0.07, 1.03
, 0.717, -0.03, 0.06, 1.03
, 0.727, -0.03, 0.06, 1.03
, 0.736, -0.02, 0.06, 1.02
, 0.747, -0.03, 0.06, 1.06
, 0.756, -0.04, 0.05, 1.04
, 0.766, -0.03, 0.05, 1.05
, 0.776, -0.03, 0.06, 1.01
, 0.787, -0.03, 0.05, 1.02
, 0.797, -0.03, 0.07, 1.02
, 0.807, -0.03, 0.07, 1.03
, 0.816, -0.02, 0.06, 1.02
, 0.827, -0.03, 0.07, 1.00
, 0.836, -0.04, 0.06, 1.00
, 0.847, -0.03, 0.06, 1.02
, 0.857, -0.04, 0.06, 1.02
, 0.866, -0.04, 0.06, 1.02
, 0.877, -0.04, 0.05, 1.02
, 0.887, -0.04, 0.05, 1.00
, 0.897, -0.04, 0.05, 1.04
, 0.906, -0.04, 0.06, 1.01
, 0.916, -0.04, 0.04, 1.02
, 0.926, -0.04, 0.04, 1.03
, 0.936, -0.02, 0.06, 1.02
, 0.947, -0.03, 0.05, 1.02
, 0.956, -0.02, 0.05, 1.03
, 0.966, -0.02, 0.05, 1.00
, 0.976, -0.02, 0.05, 1.04
, 0.987, -0.03, 0.06, 1.02
, 0.997, -0.03, 0.05, 1.02
, 1.007, -0.02, 0.06, 1.04
, 1.017, -0.03, 0.05, 1.04
, 1.027, -0.03, 0.06, 1.02
, 1.036, -0.03, 0.05, 1.04
, 1.047, -0.04, 0.05, 1.03
, 1.056, -0.03, 0.05, 1.02
, 1.066, -0.03, 0.05, 1.02
