maxX,minX,avgX,stdX,maxY,minY,avgY,stdY,maxZ,minZ,avgZ,stdZ,maxACC,minACC,avgACC,stdACC,XYcorr,XZcorr,YZcorr,energy
0.113966173,-0.403051112,-0.102819728,0.099658304,-0.687966531,-1.160509286,-0.951645351,0.091356402,0.394712122,-0.101457694,0.165612309,0.10631774,1.209138982,0.689066286,0.981839525,0.093726484,-0.178825243,0.151664522,-0.367143944,2.906898496
0.01945764,-0.403051112,-0.162360105,0.068021921,-0.804712388,-1.06322102,-0.935495517,0.037361994,0.282135765,-0.03891528,0.186904526,0.051390589,1.100190042,0.868812567,0.971595602,0.030947117,-0.754736413,0.56294695,-0.539531469,2.241752025
-0.159830612,-0.183457745,-0.172617059,0.006378285,-0.922848061,-0.949254796,-0.932271131,0.004784032,0.23488152,0.187627235,0.199023856,0.008763117,0.982225376,0.957367895,0.968842021,0.004437497,-0.331759484,0.146699771,0.124875238,1.914581073
-0.159830612,-0.183457745,-0.17136621,0.00536629,-0.927017551,-0.942305612,-0.933744359,0.003131255,0.207084878,0.179288255,0.19165775,0.008046681,0.979339077,0.962612554,0.968539041,0.003351752,-0.184398623,-0.119137238,0.07165826,1.900487102
0.086169547,-0.23488152,-0.171671974,0.044671158,-0.883932755,-0.965932857,-0.934689435,0.010737126,0.241830663,-0.105627194,0.17748147,0.04896618,0.998724126,0.894382139,0.968948211,0.013284829,0.559170391,-0.838797736,-0.244494916,2.032372879
0.594847857,-0.23488152,0.077302423,0.300394833,-0.051423761,-0.965932857,-0.715902159,0.297753007,0.241830663,-0.927017551,-0.204944539,0.436614161,1.1120154,0.745724557,0.957359777,0.078839831,0.925249456,-0.987609344,-0.917121697,2.662675462
0.594847857,-0.066711908,0.40827687,0.178096093,-0.011118651,-0.957593776,-0.330474109,0.282192882,0.062542412,-0.927017551,-0.677737385,0.24613317,1.1120154,0.745724557,0.947528939,0.077682888,0.886416647,-0.967615564,-0.872826442,2.636426092
0.543424082,0.461424031,0.501228785,0.013547158,-0.011118651,-0.183457745,-0.135869919,0.026924309,-0.731051327,-0.871424286,-0.799597797,0.015690114,1.002970172,0.912354195,0.953940301,0.013439242,-0.040061843,0.563105833,0.569401153,1.996910776
0.508678296,0.496169796,0.501756913,0.002743835,-0.136203469,-0.144542469,-0.139455684,0.002830402,-0.789424255,-0.804712388,-0.799097454,0.003839319,0.958537403,0.946715979,0.953825903,0.003265665,-0.125174608,0.273024765,0.169339276,1.873579321
0.511457959,0.496169796,0.503174543,0.003869997,-0.129254316,-0.155661122,-0.13956687,0.004475826,-0.785254755,-0.813051388,-0.798152369,0.004887979,0.964681172,0.946715979,0.953810321,0.003824331,0.111152558,0.509652647,0.382215034,1.879787258
0.590678337,0.476712143,0.512569811,0.018610576,0.097288197,-0.364135816,-0.152520098,0.061370601,-0.739390306,-0.821390306,-0.790814063,0.016394285,1.026480589,0.916940132,0.956783781,0.01550898,-0.012680834,0.335930382,-0.231167665,2.024954357
0.851966633,0.254339153,0.54575899,0.095495465,0.195966224,-0.371085,-0.138955344,0.108959081,-0.519796939,-1.125763367,-0.774386259,0.088236672,1.41515204,0.77130259,0.967275772,0.098014761,0.181722785,-0.254667507,0.063961319,3.086877118
0.922848061,-0.340508673,0.452862663,0.30435881,0.195966224,-0.929797245,-0.219037429,0.219061705,1.211933061,-1.125763367,-0.275631357,0.77121961,1.41515204,0.77130259,1.015478564,0.13751393,-0.147904426,-0.833028857,-0.095974923,3.638757167
0.922848061,-0.340508673,0.309765621,0.287701833,0.472542653,-0.929797245,-0.098400063,0.313027755,1.261966939,-1.054882041,0.592290555,0.7383391,1.336267065,0.814731706,1.074864297,0.112926911,-0.411010066,-0.740670054,0.584337885,3.380639066
0.476712143,-0.097288197,0.134619068,0.171958505,0.731051327,-0.284915429,0.357270061,0.293528784,1.261966939,0.746339439,0.955314513,0.133442654,1.30084955,0.908049308,1.088373988,0.069231726,-0.811913696,0.594311031,-0.69918994,2.91109546
0.101457694,-0.097288197,-0.00486441,0.036794257,0.758847959,0.301593418,0.654610593,0.125996714,1.054882041,0.722712347,0.822113071,0.090370776,1.141607548,0.996281351,1.062458306,0.022105692,-0.620496348,0.62811656,-0.945755146,2.304882801
0.047254267,-0.066711908,-0.0074217,0.025210994,0.758847959,0.5976275,0.687077053,0.046252381,0.895051429,0.722712347,0.806546963,0.045214285,1.114714092,0.996281351,1.061582839,0.020520343,-0.306285644,0.348680863,-0.8010205,2.295642102
100,-100,0,0,100,-100,0,0,100,-100,0,0,-3,-3,0,0,0,0,0,0
100,-100,0,0,100,-100,0,0,100,-100,0,0,-3,-3,0,0,0,0,0,0
100,-100,0,0,100,-100,0,0,100,-100,0,0,-3,-3,0,0,0,0,0,0
